"","logFC","FDR","symbol","response","odor"
"1",3.41998732472777,2.55924586966901e-25,"Olfr1009","both","minus"
"2",2.11771031844444,2.28562735414528e-07,"Olfr1107","both","minus"
"3",1.13413207905001,0.0510781535291132,"Olfr1110","p2Octanol","minus"
"4",1.56030761365427,0.052494827174351,"Olfr1113","p2Octanol","minus"
"5",1.71036941061272,1.68012186049546e-05,"Olfr1115","both","minus"
"6",1.54008594548889,0.00223077703546279,"Olfr1116","both","minus"
"7",2.33605487268962,0.00467201900497078,"Olfr1121","both","minus"
"8",-0.150142437594432,1,"Olfr1132","p2Octanol","minus"
"9",2.372470129786,0.586340040331963,"Olfr1153","p2Octanol","minus"
"10",1.79475649673723,0.000133212470877954,"Olfr1168","both","minus"
"11",0.99798837661392,0.0901018344429912,"Olfr12","p2Octanol","minus"
"12",2.68149256001593,1.043063912225e-11,"Olfr1215","both","minus"
"13",1.45350951549069,0.00955338239164732,"Olfr122","both","minus"
"14",1.93601973673624,0.00126226356045254,"Olfr1223","n2Octanol","minus"
"15",1.82929750236532,0.000133212470877954,"Olfr123","both","minus"
"16",0.011452462395137,1,"Olfr1242","p2Octanol","minus"
"17",0.521666659086748,0.954234152211908,"Olfr1243","p2Octanol","minus"
"18",-0.52047837382892,0.907219417259507,"Olfr1246","p2Octanol","minus"
"19",0.027931325843172,1,"Olfr1256","p2Octanol","minus"
"20",1.52757269880379,0.00110116853295452,"Olfr13","both","minus"
"21",0.481224724584549,0.678999639971978,"Olfr132","p2Octanol","minus"
"22",1.33534404919916,0.0355094253845729,"Olfr1333","both","minus"
"23",1.01633682350631,0.441744644777482,"Olfr1360","p2Octanol","minus"
"24",1.4587826125462,0.000830170555661107,"Olfr1362","both","minus"
"25",0.548849042959188,0.781195896494304,"Olfr1370","p2Octanol","minus"
"26",0.702713653496793,0.548592965883078,"Olfr1383","p2Octanol","minus"
"27",0.847149830172468,0.522874144389947,"Olfr1411","p2Octanol","minus"
"28",2.82059149203245,0.035470278875579,"Olfr1472","n2Octanol","minus"
"29",1.0476128245516,0.117754145743086,"Olfr16","p2Octanol","minus"
"30",0.903588830755446,0.666444337536888,"Olfr191","p2Octanol","minus"
"31",0.00699666635365392,1,"Olfr193","p2Octanol","minus"
"32",1.08637611071936,0.116697734664675,"Olfr212","p2Octanol","minus"
"33",0.798459365747222,0.696855965013093,"Olfr213","p2Octanol","minus"
"34",0.603783886425055,0.907219417259507,"Olfr215","p2Octanol","minus"
"35",0.580338258937346,0.861025939674897,"Olfr221","p2Octanol","minus"
"36",0.836887329667593,0.500399240750847,"Olfr237","p2Octanol","minus"
"37",1.37419131480242,0.035470278875579,"Olfr247","n2Octanol","minus"
"38",2.08994463956262,0.0510781535291132,"Olfr275","p2Octanol","minus"
"39",1.0721388881586,0.270725438482505,"Olfr316","p2Octanol","minus"
"40",1.1564012608295,0.250615493344343,"Olfr317","p2Octanol","minus"
"41",2.22369825347842,2.84178456998013e-14,"Olfr332","both","minus"
"42",1.19691663892011,0.15389887647286,"Olfr362","p2Octanol","minus"
"43",0.397913314218477,0.954234152211908,"Olfr392","p2Octanol","minus"
"44",0.966041423732627,0.298312494210952,"Olfr398","p2Octanol","minus"
"45",2.52649011723605,8.59810951387169e-14,"Olfr406","both","minus"
"46",2.37629586914053,6.37818664002747e-08,"Olfr434","both","minus"
"47",1.50172226537807,0.0359433938072852,"Olfr447","n2Octanol","minus"
"48",1.16084646316453,0.0776967134962886,"Olfr463","p2Octanol","minus"
"49",1.74167006585281,0.035470278875579,"Olfr469","both","minus"
"50",0.0340994260343872,1,"Olfr476","p2Octanol","minus"
"51",0.397874016952132,0.907219417259507,"Olfr477","p2Octanol","minus"
"52",0.942220500380064,0.298312494210952,"Olfr516","p2Octanol","minus"
"53",1.22999965902148,0.149118362650661,"Olfr518","p2Octanol","minus"
"54",1.89538681225432,8.36257103960648e-11,"Olfr59","both","minus"
"55",0.380970239743329,0.861025939674897,"Olfr599","p2Octanol","minus"
"56",2.30000106002068,7.16933429524359e-10,"Olfr707","both","minus"
"57",2.37545231875685,4.68579059226151e-09,"Olfr710","both","minus"
"58",0.884223382072633,0.696855965013093,"Olfr713","p2Octanol","minus"
"59",1.35314041459006,0.117754145743086,"Olfr714","p2Octanol","minus"
"60",1.80267752490308,1.56443574797213e-10,"Olfr715","both","minus"
"61",1.80821559724166,6.58941809010197e-10,"Olfr716","both","minus"
"62",0.829517434093845,0.691988384181601,"Olfr796","p2Octanol","minus"
"63",1.3101419302997,0.052494827174351,"Olfr819","p2Octanol","minus"
"64",2.34440471611981,0.000156986389816328,"Olfr823","both","minus"
"65",2.18459507392285,2.2637826747526e-07,"Olfr824","both","minus"
"66",0.785871859439084,0.324841855967309,"Olfr9","p2Octanol","minus"
"67",1.98666474550718,1.2004501978962e-09,"Olfr90","both","minus"
"68",2.22055702226756,4.21512378893986e-09,"Olfr91","both","minus"
"69",0.948999588393472,0.812601351891634,"Olfr913","p2Octanol","minus"
"70",1.6766134236495,0.000944649521970953,"Olfr93","both","minus"
"71",2.53280817043162,4.21512378893986e-09,"Olfr937","both","minus"
"72",0.795375544267377,0.965412387432905,"Olfr95","p2Octanol","minus"
